Year;Month;Diesel Price
1990;1;2,21794277
1990;2;1,943583113
1990;3;1,860249981
1990;4;1,843270566
1990;5;1,811545741
1990;6;1,748385912
1990;7;1,758197073
1990;8;2,132912264
1990;9;2,339936172
1990;10;2,507497127
1990;11;2,447860987
1990;12;2,362367413
1991;1;2,225629069
1991;2;2,04771868
1991;3;1,887011644
1991;4;1,856958457
1991;5;1,843239914
1991;6;1,913181174
1991;7;1,811176132
1991;8;1,868967239
1991;9;1,907717764
1991;10;1,938892927
1991;11;1,981163089
1991;12;1,894523959
1992;1;1,802201851
1992;2;1,77813312
1992;3;1,77341617
1992;4;1,804690846
1992;5;1,845835731
1992;6;1,873818898
1992;7;1,871800037
1992;8;1,857885457
1992;9;1,870444085
1992;10;1,890470148
1992;11;1,867116771
1992;12;1,820294769
1993;1;1,781296706
1993;2;1,76942331
1993;3;1,799464421
1993;4;1,78834795
1993;5;1,78177182
1993;6;1,766008643
1993;7;1,732935709
1993;8;1,711649746
1993;9;1,771941354
1993;10;1,947022799
1993;11;1,898610767
1993;12;1,745050751
1994;1;1,725944355
1994;2;1,765698334
1994;3;1,757729898
1994;4;1,751788394
1994;5;1,737170712
1994;6;1,737197406
1994;7;1,742331995
1994;8;1,755639412
1994;9;1,755232083
1994;10;1,749379743
1994;11;1,75870349
1994;12;1,727254393
1995;1;1,699447192
1995;2;1,679505728
1995;3;1,676173376
1995;4;1,694100364
1995;5;1,724451603
1995;6;1,711886194
1995;7;1,679113237
1995;8;1,683436063
1995;9;1,702537669
1995;10;1,692031023
1995;11;1,697407001
1995;12;1,710336868
1996;1;1,724078384
1996;2;1,720741458
1996;3;1,772132478
1996;4;1,902607111
1996;5;1,895978852
1996;6;1,785319073
1996;7;1,74481547
1996;8;1,779640578
1996;9;1,868532543
1996;10;1,948028018
1996;11;1,941890563
1996;12;1,916510931
1997;1;1,886599691
1997;2;1,867011046
1997;3;1,791500533
1997;4;1,765614919
1997;5;1,742306472
1997;6;1,705600577
1997;7;1,671524681
1997;8;1,6876474
1997;9;1,676234541
1997;10;1,706294739
1997;11;1,717149348
1997;12;1,598035031
1998;1;1,610441086
1998;2;1,558676909
1998;3;1,528481138
1998;4;1,532340935
1998;5;1,531436514
1998;6;1,489491958
1998;7;1,46871339
1998;8;1,43555307
1998;9;1,458894992
1998;10;1,476652918
1998;11;1,450721838
1998;12;1,378646304
1999;1;1,367649178
1999;2;1,356334604
1999;3;1,409223201
1999;4;1,51501486
1999;5;1,505682725
1999;6;1,507085971
1999;7;1,567830436
1999;8;1,633777819
1999;9;1,686654601
1999;10;1,701658813
1999;11;1,747041
1999;12;1,782920199
2000;1;1,86571183
2000;2;2,001903452
2000;3;2,014716288
2000;4;1,938203473
2000;5;1,932085841
2000;6;1,922218553
2000;7;1,934187836
2000;8;1,977349628
2000;9;2,196548477
2000;10;2,192759147
2000;11;2,1675878
2000;12;2,087910779
2001;1;2,021632866
2001;2;1,974685736
2001;3;1,850547309
2001;4;1,877771959
2001;5;1,965462182
2001;6;1,942685997
2001;7;1,805472661
2001;8;1,825168726
2001;9;1,955325693
2001;10;1,770649662
2001;11;1,652225066
2001;12;1,533666958
2002;1;1,507482386
2002;2;1,507558975
2002;3;1,605124504
2002;4;1,700596147
2002;5;1,693510496
2002;6;1,667924815
2002;7;1,681041673
2002;8;1,716391158
2002;9;1,817901808
2002;10;1,879451024
2002;11;1,8224413
2002;12;1,829684304
2003;1;1,898208841
2003;2;2,098479168
2003;3;2,163455521
2003;4;1,9492095
2003;5;1,847972656
2003;6;1,811604867
2003;7;1,819636244
2003;8;1,874873268
2003;9;1,838593122
2003;10;1,865778057
2003;11;1,866028657
2003;12;1,871044809
2004;1;1,939281153
2004;2;1,973803865
2004;3;2,028098905
2004;4;2,103161417
2004;5;2,161058155
2004;6;2,109890348
2004;7;2,142150043
2004;8;2,256748522
2004;9;2,352706426
2004;10;2,605300834
2004;11;2,608865955
2004;12;2,441179182
2005;1;2,381422346
2005;2;2,453787489
2005;3;2,670472649
2005;4;2,756001522
2005;5;2,645587983
2005;6;2,753596372
2005;7;2,835542858
2005;8;2,969643039
2005;9;3,302798001
2005;10;3,621022531
2005;11;3,025499911
2005;12;2,872343532
2006;1;2,883859484
2006;2;2,891583574
2006;3;2,984346118
2006;4;3,16620352
2006;5;3,351865515
2006;6;3,34459947
2006;7;3,3679116
2006;8;3,480366271
2006;9;3,196591126
2006;10;2,906485512
2006;11;2,934221666
2006;12;2,99373955
2007;1;2,844908952
2007;2;2,83808119
2007;3;3,026225496
2007;4;3,205872501
2007;5;3,15037179
2007;6;3,156016463
2007;7;3,218458567
2007;8;3,218139701
2007;9;3,298664143
2007;10;3,423651391
2007;11;3,751499736
2007;12;3,680178558
2008;1;3,631469057
2008;2;3,698553873
2008;3;4,235171541
2008;4;4,446090949
2008;5;4,789571903
2008;6;5,009625453
2008;7;5,001968698
2008;8;4,582031565
2008;9;4,282522747
2008;10;3,838748122
2008;11;3,143236189
2008;12;2,698545498
2009;1;2,519221165
2009;2;2,402742658
2009;3;2,292965795
2009;4;2,431454884
2009;5;2,434944169
2009;6;2,742893385
2009;7;2,755516729
2009;8;2,84770013
2009;9;2,833506063
2009;10;2,875123445
2009;11;2,995011707
2009;12;2,941138346
2010;1;3,046987058
2010;2;2,98412783
2010;3;3,123424484
